statement,translation
ילד קט עומד בכפר בידיו,A little boy standing in the village in his hands
כינור בקתות חימר מן הכינור,Violin Clay Cabins from the Violin
את ליבו שוטף את צלילו,His heart washes away his sound
הוא גומה קרב הילד לאדם,He's a dimple The child's battle to man
ליבו בפראות הלם משמיע צליל,His heart wildly shocked makes a sound
שהכינור מפיק צליל של ניגון,The violin produces a sound of playing
ניגון עתיק מיתרים פתאום פקעו,An ancient string playing suddenly burst
מפני האדם יתאבנו עננים סופה,"From the face of man, clouds will dry up."
את הכפר גרפה כאן זלגה,The village was raked here by Zelga
דמעה על לחיו ירדה,A tear on his cheek descended
הנה בא הסתיו ים של,Here comes the autumn sea of
דמעות נשפל על קבר רענן,Tears fell on a fresh grave
אותיות בשחור נכתב סמדר שלי,The letters in black were written my semadar
סמדר הנה שקעה השמש אין,Semadar. There goes the sun. There is no
אור ירח אני עומד מעל,Moonlight I stand above
מבכה על קברה הנה נושבת,Cry on her grave Here blows
הרוח גועש הים גלים גלים,The wind gusts the sea Waves waves
על מזח ישן נושן הזיכרונות,On an old-fashioned dock of memories
הנעימים הנה חלף הזמן צללית,The pleasantness Here goes the time Shadow
דמותה באפילה קול קורא לי,Her image in the darkness Cole calls me
מקברה בוא אליי כל שנה,Come to me every year.
מפרשים לי שלושה בספינת האהבה,Sail me three in the Love Boat
רוח ים חלשה בליבי אכזבה,Weak sea breeze in my heart Disappointment
שם באופק הישועה מצפה לספינה,There on the horizon salvation awaits the ship
שוטי שוטי ספינה הנה באה,Ship Shots Here Comes
התקווה לא אדע עוד סערה,Hope I won't know another storm
בספינת האהבה המיית גלי הים,On the Love Boat The Sea Waves
שחפים עפים אל על בודדה,Seagulls fly to the lonely
אני בלב ים בשחקים ישנו,I'm at sea In the high seas Sleeping
מזל רד אליי כוכב מעל,Lucky come down to me Star over
לספינת האהבה הספינה היא כל,To the Love Boat The Ship Is All
חיי היבשה לי אבודה מתוכה,My land life is lost from within.
אשא עיני אך הים הוא,I will lift up my eyes but the sea is
לי חידה טרם ידעתי אהבה,I haven't yet known love
שמי על כן אהובה,My name is Love.
אור שמחה בליבי אור שמחה,Joy in my heart Joy in my heart
בנשמתי אור שמחה מעיני היוקדות,In my soul a joyful light from the eyes of the indwell
עוד אשיר אנגן אשמח כל,Another song I'll play I'll be happy
לב עוד אראה את העולם,My heart will see the world.
כולו צוחק בכל בית שמחים,He laughs at every happy home.
בכל בית שרים אני יושבת,In every house I sit
לנגן העולם כולו צוחק העולם,Playing the whole world Laughing the world
כולו צוהל הרי כך נכספה,He's all sizzled up after all.
נפשי,Mental
עוד עולה השחר בליבי מנגינה,It's still dawn in my heart A tune
עצובה בפי מילות אהבה מעיני,Sad with love words from my eyes
ניצוץ דמעה נא גלה לי,A spark of tears Please tell me
נא גלה לי מהו סודך,Tell me what your secret is.
נא אמור לי נא אמור,Please tell me Please tell me
האם אני בלבך עוד עולה,Am I in your heart yet rising?
השחר אני כאן לבד מחכה,Dawn I'm here alone Waiting
למבטך אנא הושט לי את,Please give me your eye.
ידך דרכים רבות לבוא לביתך,Your hand Many ways to come to your home
אני כבר עייפה ברצוני לשמוע,I'm already tired I want to hear
מילה לעודד לב דואב,A word to encourage a heartache
עוד שנה עברה חלפה עוד,Another year passed another
שנה בלי אהבה בלילות החלומות,A Year Without Love on Dream Nights
כמו ציפור אתה תחזור בקיני,Like a bird You'll be back in Kinney
תמצא מסתור קן אהבה נשיקות,Find a hiding nest Love kisses
איך זה בלב איך הכאב,How is it in the heart How is the pain
האהבה תני לי תקווה השמיים,Love Give me hope Heaven
הם כחולים הדמעות הן רק,They're blue The tears are just
שלי אהבתי בנשמתי כל הזמן,Mine I loved in my soul all the time
אני לבד לא אוהבת אף,I alone don't like a nose
אחד רק את דמותך אהבתך,One Only Your Character Your Love
החיים הם הפתעה פעם טוב,Life is a surprise once good
פעם רע פעם איתך פעם,Once bad Once with you Once
אינך תן לי הזדמנות שנייה,You won't give me a second chance.
תן לי יד תן לי,Give me a hand Give me a hand
אותך אהבתי בנשמתי,I loved you in my soul.
עודני כאן עודני כאן בתוך,I'm still here I'm still here inside
עולם סגור צר נפשי כמהה,A world closed to my soul longing
אל המרחב בתוך עולם כמו,To the space within a world such as
בור ענק סורגים מול עיני,Giant hole bars in front of my eyes
אחפש לי מוצא את המחר,I will seek to find tomorrow.
לא אשכח תנו חופש אנשים,I won't forget. Give people freedom.
כמה זמן אחכה אני אסיר,How long will I wait? I'm a prisoner.
בתוך כלא אכן אושר מי,Inside a prison indeed confirmed who
לי יתן התפללתי השתגעתי צעיר,Let me pray I went crazy young man
אני כבר אסיר הכאב בתוך,I've been the prisoner of pain inside
דמי העצבות בתוך ליבי למה,The sadness in my heart Why
כך אלוהים אנא קח את,So God please take
נפשי אבל לא את אושרי,My soul but not my happiness
תן לחוש אבק עולם,Let the sense of world dust
ציפור קטנה לחשה אל בואך,A little bird whispered to you
אלי בגבעת האהבה לי חיכית,My God on Love Hill You've Been Waiting for Me
לבד אך בואי נצא אל,Alone but let's go out to
ההרים נרוץ במרחבים שם נמצא,The mountains run through the spaces where it is.
האושר עלמת החן לבי בך,My heart is in you
חושק בואי נשב כאן לבד,Desirable Let's sit here alone
נצחק על העולם בן פרחי,"We will laugh at the world, son of flowers."
השושנים בחן פרחי ההר קול,The roses examined the flowers of the mountain Cole
קורא לך מרחוק אני הוא,Calling you from afar I am he
בואי למרחב בשירה בריקוד בואי,Come into space Singing in a dance Come
שם בעמק בגיא בשדות בהר,There in the valley in the valley in the fields in the mountain
נשתולל עד הבוקר עלמת החן,We'll rage until morning Miss Hen
גלגלי הכרכרה הביאוני הלום קול,The carriage wheels Bring me the sound
פעמוני זימרה נשמע כחלום מי,Singing bells sound like a dream Who
היה מאמין זו את בוודאי,Would have believed it You must have
מקבלת את פני עם כל,Welcomes me with all
הנשמה עמק הפרחים לך אקטוף,Soul Valley Flowers to you Aktouf
באלפים שושנים אדומים על ראשך,In thousands of red roses on your head
אשים עמק אוהבים בו היינו,I'll put a loving valley where we've been
רק נחים על אהבה מדברים,Just Resting on Love Talking
אלו הם חיים אנא בואי,This is life Please come
אל העמק שם אני נמצא,To the valley where I am
תחת עץ אילן שוכב לי,Under a tree Ilan lays me
הוגה רק בך דמותך התמירה,Only think of you as your transfigured image.
בתוך חלומי סוחפת יחד עימה,Inside my dream sweeps along with her
את כל נשמתי עמק הפרחים,All my soul The Valley of Flowers
בחדרך הקטן נמצאת תמונתי מסביב,In your little room is my picture around
למסגרת יש תמיד פרחים עולמך,The frame always has flowers in your world
הקטן לא אחדור אליו לנו,The little one will not penetrate him to us.
נועד העמק עם שירה מעל,Designed for the valley with singing above
עמק הפרחים,The Valley of Flowers
צועני לו הולך על אם,A gypsy for him goes on if
הדרך מבטו כה עצוב נוקשה,The way his gaze is so sternly sad
בעולם הוא סובב בלי הרף,In the world it revolves constantly
כך חייו מתמשכים עד אין,Thus his life goes on until there is no
סוף לו יכול להיות כאן,The end of him could be here.
בשקט להקים את ביתו בלי,Quietly set up his home without
לנדוד אך חיי צועני רק,Wandering but Gypsy life only
